name,keywords
야채김밥,['김밥']
치즈김밥,"['치즈', '김밥']"
소고기김밥,"['소고기', '김밥']"
매콤땡초김밥,"['땡초', '김밥']"
참치마요김밥,['김밥']
참치와사비김밥,"['와사비', '참치', '김밥']"
매콤오징어김밥,"['오징어', '김밥']"
신라면,['신라면']
콩나물라면,['콩나물']
떡라면,['라면']
만두라면,"['라면', '육수', '만두']"
치즈라면,"['치즈', '라면']"
국물떡볶이,"['분식', '떡볶이', '국물']"
유부라면,['라면']
후레쉬쫄면,[]
부산생생우동,['부산']
부산어묵탕,['부산']
김치만두,"['김치', '만두']"
고기만두,"['고기', '만두']"
만두국,"['국물', '만두']"
떡국+공기밥,"['떡국', '국물']"
떡만두국+공기밥,['만두국']
된장찌개,[]
순두부찌개,[]
돼지김치찌개,['김치']
참치김치찌개,"['참치', '김치']"
뚝배기불고기,['뚝배기']
갈비탕,['고기']
육개장,[]
짜장덮밥,"['덮밥', '짜장']"
부대찌개+라면사리,[]
햄야채볶음밥,"['볶음밥', '야채']"
김치볶음밥,"['볶음밥', '김치']"
참치볶음밥,"['참치', '볶음밥', '야채']"
카레라이스,[]
새우볶음밥,"['볶음밥', '새우']"
제육덮밥,['덮밥']
오징어덮밥,"['오징어', '양념', '덮밥']"
비빔밥,[]
돌솥비빔밥,['한국']
오므라이스,['요리']
등심돈까스,"['돈까스', '등심']"
생선까스,"['생선', '요리']"
치즈돈까스,"['치즈', '돈까스', '요리']"
수제왕돈까스,['돈까스']
물냉면,[]
비빔냉면,['냉면']
